The Mad Oak,1.0000,7.715384604457097
The River Blossom,1.0000,7.8514646571694
Nattos,1.0000,7.855690460261845
Interlude,1.0000,7.761217606191191
Starlight,1.0000,7.765682459541682
Fluorescence,1.0000,7.7171750094741585
The Amber Cuisine,1.0000,8.118217592576036
Midnight,1.0000,7.597848406339333
Tranquility,1.0000,7.613026309954493
Harvest,1.0000,7.667763515119381
Mamoun's,0.7849,7.14390776725938
China Palace,0.6848,6.944289166453373
Vietnam Restaurant,0.6556,6.759076948731374
Fargo,0.6458,6.640589741712962
Wolfs,0.6421,6.882944035124025
Fangs,0.6129,6.843922088749997
Siam Cusine,0.6129,6.94056603690042
Hofbrau Deluxe,0.5938,6.706045327318706
Molinarinari,0.5918,6.630932633123249
Irifune Place,0.5895,6.641266146525548
Estradanas,0.5895,6.673715014645768
Ranch House,0.5773,6.664974873389431
Jean's Place,0.5684,6.705086423879788
The Court Bites,0.5521,6.591776155134768
Aroma,0.5484,6.747659040733452
The Hot Oak,0.5263,6.477149529552314
A Cut Above,0.5217,6.63897755348177
The Indian Smith,0.5158,6.505862965896196
The Noodle Fiddler,0.5000,6.8526315748691555
Trilogy,0.4091,6.280148503287594
The Crimson Horse,0.4000,6.276964779064907
The Sugar Badger,0.3889,6.2673902618448905
The Cool Pizzeria,0.3846,6.340190942361417
The Depot,0.3763,6.1738258664714945
The Magical Spices,0.3636,6.394433742043484
The Olive Port,0.3617,6.0975700985884
The Crown,0.3438,6.182753632178053
The Amber Lion,0.2755,5.899228916685265
The Caviar Salmon,0.2418,5.862506815620599
Chance,0.2043,5.736453207379455
Bambino,0.1935,5.679896114863358
Burgers and Fries,0.1538,5.72452498990111
Bistro Bob,0.1263,5.394030234825701
Chops and Ribs,0.0978,5.455490651462123
The Mockingbird,0.0761,5.261772164391188
Sapphire,0.0588,5.3740091121210325
Wiener House,0.0562,5.416297307207778
The Caramel Hog,0.0521,5.343871738345776
Big Daddy Barbeque,0.0455,5.274395897275838
Mary's Diner,0.0215,5.265497740981806
