Starlight,1.0000,9.490547260241723
Fluorescence,1.0000,9.74551162220711
The Amber Cuisine,1.0000,9.487736844389062
Midnight,1.0000,9.203256424879417
Harvest,1.0000,9.458161448149403
Tranquility,1.0000,9.455530311122086
The Mad Oak,1.0000,9.365256730968037
The River Blossom,1.0000,9.538035261240655
Nattos,1.0000,9.678388735217512
Interlude,1.0000,9.462284266646138
Mamoun's,0.7849,8.357797031945521
China Palace,0.6848,7.852614546079199
Vietnam Restaurant,0.6556,7.756785707206142
Fargo,0.6458,7.684333326266362
Wolfs,0.6421,7.589589741291144
Fangs,0.6129,7.6203723334251565
Siam Cusine,0.6129,7.46719793059832
Hofbrau Deluxe,0.5938,7.473967145306403
Molinarinari,0.5918,7.449441737341649
Irifune Place,0.5895,7.502214119672195
Estradanas,0.5895,7.367832167721017
Ranch House,0.5773,7.333198083613539
Jean's Place,0.5684,7.371047388585725
The Court Bites,0.5521,7.201407394291442
Aroma,0.5484,7.158635161993072
The Hot Oak,0.5263,7.077512572758162
A Cut Above,0.5217,7.186454088104014
The Indian Smith,0.5158,7.061882949664089
The Noodle Fiddler,0.5000,7.029718675881701
Trilogy,0.4091,6.585240502297124
The Crimson Horse,0.4000,6.423817727953343
The Sugar Badger,0.3889,6.566134652592
The Cool Pizzeria,0.3846,6.466863744975975
The Depot,0.3763,6.381662523776071
The Magical Spices,0.3636,6.270024886178733
The Olive Port,0.3617,6.290637244780858
The Crown,0.3438,6.2104136149088545
The Amber Lion,0.2755,5.8444711577433806
The Caviar Salmon,0.2418,5.6651378448744465
Chance,0.2043,5.474730393465827
Bambino,0.1935,5.390443876580221
Burgers and Fries,0.1538,5.336967417620178
Bistro Bob,0.1263,5.070078536790079
Chops and Ribs,0.0978,5.063529409029904
The Mockingbird,0.0761,4.855263166260301
Sapphire,0.0588,4.827569627007351
Wiener House,0.0562,4.668975000828505
The Caramel Hog,0.0521,4.702135677313684
Big Daddy Barbeque,0.0455,4.631752580711522
Mary's Diner,0.0215,4.606395054636178
